Algorithm,RUN,Epochs
Prosty perceptron - unipolar,5,13
Prosty perceptron - unipolar,6,12
Prosty perceptron - unipolar,7,7
Prosty perceptron - unipolar,8,9
Prosty perceptron - unipolar,9,8
Prosty perceptron - unipolar,10,7
Prosty perceptron - unipolar,11,15
Prosty perceptron - unipolar,12,16
Prosty perceptron - unipolar,13,13
Prosty perceptron - unipolar,14,11
Prosty perceptron - unipolar,15,9
Prosty perceptron - unipolar,16,10
Prosty perceptron - unipolar,17,10
Prosty perceptron - unipolar,18,8
Prosty perceptron - unipolar,19,10
Prosty perceptron - unipolar,20,11
Prosty perceptron - unipolar,21,12
Prosty perceptron - unipolar,22,13
Prosty perceptron - unipolar,23,4
Prosty perceptron - unipolar,24,5
Prosty perceptron - unipolar,25,14
Prosty perceptron - unipolar,26,11
Prosty perceptron - unipolar,27,4
Prosty perceptron - unipolar,28,7
Prosty perceptron - unipolar,29,8
Prosty perceptron - unipolar,30,14
Prosty perceptron - unipolar,31,10
Prosty perceptron - unipolar,32,14
Prosty perceptron - unipolar,33,9
Prosty perceptron - unipolar,34,8
Prosty perceptron - unipolar,35,11
Prosty perceptron - unipolar,36,8
Prosty perceptron - unipolar,37,10
Prosty perceptron - unipolar,38,10
Prosty perceptron - unipolar,39,6
Prosty perceptron - unipolar,40,13
Prosty perceptron - unipolar,41,9
Prosty perceptron - unipolar,42,8
Prosty perceptron - unipolar,43,9
Prosty perceptron - unipolar,44,15
Prosty perceptron - unipolar,45,11
Prosty perceptron - unipolar,46,7
Prosty perceptron - unipolar,47,12
Prosty perceptron - unipolar,48,8
Prosty perceptron - unipolar,49,5
Prosty perceptron - unipolar,50,9
Prosty perceptron - unipolar,51,14
Prosty perceptron - unipolar,52,13
Prosty perceptron - unipolar,53,10
Prosty perceptron - unipolar,54,10
Prosty perceptron - unipolar,55,10
Prosty perceptron - unipolar,56,10
Prosty perceptron - unipolar,57,15
Prosty perceptron - unipolar,58,9
Prosty perceptron - unipolar,59,12
Prosty perceptron - unipolar,60,6
Prosty perceptron - unipolar,61,7
Prosty perceptron - unipolar,62,4
Prosty perceptron - unipolar,63,12
Prosty perceptron - unipolar,64,15
Prosty perceptron - unipolar,65,11
Prosty perceptron - unipolar,66,9
Prosty perceptron - unipolar,67,5
Prosty perceptron - unipolar,68,7
Prosty perceptron - unipolar,69,9
Prosty perceptron - unipolar,70,14
Prosty perceptron - unipolar,71,8
Prosty perceptron - unipolar,72,10
Prosty perceptron - unipolar,73,16
Prosty perceptron - unipolar,74,9
Prosty perceptron - unipolar,75,8
Prosty perceptron - unipolar,76,11
Prosty perceptron - unipolar,77,8
Prosty perceptron - unipolar,78,14
Prosty perceptron - unipolar,79,9
Prosty perceptron - unipolar,80,10
Prosty perceptron - unipolar,81,13
Prosty perceptron - unipolar,82,11
Prosty perceptron - unipolar,83,7
Prosty perceptron - unipolar,84,7
Prosty perceptron - unipolar,85,12
Prosty perceptron - unipolar,86,8
Prosty perceptron - unipolar,87,7
Prosty perceptron - unipolar,88,8
Prosty perceptron - unipolar,89,11
Prosty perceptron - unipolar,90,10
Prosty perceptron - unipolar,91,9
Prosty perceptron - unipolar,92,10
Prosty perceptron - unipolar,93,8
Prosty perceptron - unipolar,94,9
Prosty perceptron - unipolar,95,10
Prosty perceptron - unipolar,96,10
Prosty perceptron - unipolar,97,10
Prosty perceptron - unipolar,98,14
Prosty perceptron - unipolar,99,13
Prosty perceptron - unipolar,100,16
