Weights [LOW],Weights [HIGH],RUN,Epochs
-1.0,1.0,1,82
-1.0,1.0,2,82
-1.0,1.0,3,82
-1.0,1.0,4,82
-1.0,1.0,5,81
-1.0,1.0,6,81
-1.0,1.0,7,82
-1.0,1.0,8,82
-1.0,1.0,9,81
-1.0,1.0,10,82
-1.0,1.0,11,82
-1.0,1.0,12,81
-1.0,1.0,13,82
-1.0,1.0,14,82
-1.0,1.0,15,82
-1.0,1.0,16,82
-1.0,1.0,17,82
-1.0,1.0,18,82
-1.0,1.0,19,82
-1.0,1.0,20,82
-1.0,1.0,21,82
-1.0,1.0,22,83
-1.0,1.0,23,82
-1.0,1.0,24,82
-1.0,1.0,25,82
-1.0,1.0,26,82
-1.0,1.0,27,81
-1.0,1.0,28,82
-1.0,1.0,29,82
-1.0,1.0,30,82
-1.0,1.0,31,82
-1.0,1.0,32,83
-1.0,1.0,33,82
-1.0,1.0,34,83
-1.0,1.0,35,81
-1.0,1.0,36,82
-1.0,1.0,37,82
-1.0,1.0,38,82
-1.0,1.0,39,82
-1.0,1.0,40,82
-1.0,1.0,41,82
-1.0,1.0,42,82
-1.0,1.0,43,82
-1.0,1.0,44,82
-1.0,1.0,45,82
-1.0,1.0,46,82
-1.0,1.0,47,82
-1.0,1.0,48,81
-1.0,1.0,49,82
-1.0,1.0,50,82
-1.0,1.0,51,81
-1.0,1.0,52,82
-1.0,1.0,53,81
-1.0,1.0,54,82
-1.0,1.0,55,81
-1.0,1.0,56,81
-1.0,1.0,57,83
-1.0,1.0,58,82
-1.0,1.0,59,81
-1.0,1.0,60,82
-1.0,1.0,61,82
-1.0,1.0,62,82
-1.0,1.0,63,81
-1.0,1.0,64,82
-1.0,1.0,65,82
-1.0,1.0,66,83
-1.0,1.0,67,82
-1.0,1.0,68,82
-1.0,1.0,69,83
-1.0,1.0,70,81
-1.0,1.0,71,82
-1.0,1.0,72,82
-1.0,1.0,73,82
-1.0,1.0,74,83
-1.0,1.0,75,82
-1.0,1.0,76,82
-1.0,1.0,77,82
-1.0,1.0,78,82
-1.0,1.0,79,82
-1.0,1.0,80,82
-1.0,1.0,81,83
-1.0,1.0,82,83
-1.0,1.0,83,82
-1.0,1.0,84,82
-1.0,1.0,85,82
-1.0,1.0,86,82
-1.0,1.0,87,82
-1.0,1.0,88,82
-1.0,1.0,89,82
-1.0,1.0,90,82
-1.0,1.0,91,83
-1.0,1.0,92,82
-1.0,1.0,93,82
-1.0,1.0,94,83
-1.0,1.0,95,82
-1.0,1.0,96,81
-1.0,1.0,97,83
-1.0,1.0,98,82
-1.0,1.0,99,82
-1.0,1.0,100,83
-0.8,0.8,1,82
-0.8,0.8,2,82
-0.8,0.8,3,82
-0.8,0.8,4,82
-0.8,0.8,5,82
-0.8,0.8,6,81
-0.8,0.8,7,82
-0.8,0.8,8,82
-0.8,0.8,9,82
-0.8,0.8,10,82
-0.8,0.8,11,82
-0.8,0.8,12,82
-0.8,0.8,13,82
-0.8,0.8,14,82
-0.8,0.8,15,82
-0.8,0.8,16,82
-0.8,0.8,17,81
-0.8,0.8,18,82
-0.8,0.8,19,83
-0.8,0.8,20,82
-0.8,0.8,21,81
-0.8,0.8,22,82
-0.8,0.8,23,82
-0.8,0.8,24,82
-0.8,0.8,25,81
-0.8,0.8,26,82
-0.8,0.8,27,82
-0.8,0.8,28,82
-0.8,0.8,29,82
-0.8,0.8,30,81
-0.8,0.8,31,82
-0.8,0.8,32,82
-0.8,0.8,33,82
-0.8,0.8,34,82
-0.8,0.8,35,81
-0.8,0.8,36,82
-0.8,0.8,37,83
-0.8,0.8,38,82
-0.8,0.8,39,82
-0.8,0.8,40,82
-0.8,0.8,41,81
-0.8,0.8,42,81
-0.8,0.8,43,81
-0.8,0.8,44,82
-0.8,0.8,45,82
-0.8,0.8,46,82
-0.8,0.8,47,82
-0.8,0.8,48,82
-0.8,0.8,49,82
-0.8,0.8,50,81
-0.8,0.8,51,82
-0.8,0.8,52,81
-0.8,0.8,53,82
-0.8,0.8,54,82
