Activation function,RUN,Epochs
bipolar,1,4
bipolar,2,4
bipolar,3,5
bipolar,4,4
bipolar,5,3
bipolar,6,3
bipolar,7,4
bipolar,8,5
bipolar,9,4
bipolar,10,5
unipolar,1,8
unipolar,2,8
unipolar,3,5
unipolar,4,6
unipolar,5,6
unipolar,6,5
unipolar,7,6
unipolar,8,5
unipolar,9,4
unipolar,10,5
