Weights [LOW],Weights [HIGH],RUN,Epochs
-0.6,0.6,14,5
-0.6,0.6,15,16
-0.6,0.6,16,2
-0.6,0.6,17,1
-0.6,0.6,18,3
-0.6,0.6,19,8
-0.6,0.6,20,6
-0.6,0.6,21,11
-0.6,0.6,22,9
-0.6,0.6,23,4
-0.6,0.6,24,8
-0.6,0.6,25,11
-0.6,0.6,26,7
-0.6,0.6,27,10
-0.6,0.6,28,14
-0.6,0.6,29,12
-0.6,0.6,30,17
-0.6,0.6,31,1
-0.6,0.6,32,15
-0.6,0.6,33,12
-0.6,0.6,34,3
-0.6,0.6,35,9
-0.6,0.6,36,6
-0.6,0.6,37,4
-0.6,0.6,38,14
-0.6,0.6,39,14
-0.6,0.6,40,8
-0.6,0.6,41,12
-0.6,0.6,42,12
-0.6,0.6,43,11
-0.6,0.6,44,2
-0.6,0.6,45,4
-0.6,0.6,46,9
-0.6,0.6,47,6
-0.6,0.6,48,14
-0.6,0.6,49,12
-0.6,0.6,50,10
-0.6,0.6,51,14
-0.6,0.6,52,8
-0.6,0.6,53,11
-0.6,0.6,54,15
-0.6,0.6,55,9
-0.6,0.6,56,13
-0.6,0.6,57,13
-0.6,0.6,58,13
-0.6,0.6,59,15
-0.6,0.6,60,11
-0.6,0.6,61,3
-0.6,0.6,62,13
-0.6,0.6,63,11
-0.6,0.6,64,12
-0.6,0.6,65,15
-0.6,0.6,66,1
-0.6,0.6,67,6
-0.6,0.6,68,3
-0.6,0.6,69,15
-0.6,0.6,70,2
-0.6,0.6,71,4
-0.6,0.6,72,1
-0.6,0.6,73,6
-0.6,0.6,74,2
-0.6,0.6,75,5
-0.6,0.6,76,16
-0.6,0.6,77,10
-0.6,0.6,78,14
-0.6,0.6,79,9
-0.6,0.6,80,9
-0.6,0.6,81,13
-0.6,0.6,82,7
-0.6,0.6,83,8
-0.6,0.6,84,3
-0.6,0.6,85,6
-0.6,0.6,86,10
-0.6,0.6,87,7
-0.6,0.6,88,6
-0.6,0.6,89,4
-0.6,0.6,90,13
-0.6,0.6,91,5
-0.6,0.6,92,2
-0.6,0.6,93,6
-0.6,0.6,94,15
-0.6,0.6,95,2
-0.6,0.6,96,10
-0.6,0.6,97,10
-0.6,0.6,98,4
-0.6,0.6,99,2
-0.6,0.6,100,16
-0.4,0.4,1,10
-0.4,0.4,2,7
-0.4,0.4,3,12
-0.4,0.4,4,4
-0.4,0.4,5,6
-0.4,0.4,6,10
-0.4,0.4,7,1
-0.4,0.4,8,4
-0.4,0.4,9,6
-0.4,0.4,10,7
-0.4,0.4,11,9
-0.4,0.4,12,11
-0.4,0.4,13,13
-0.4,0.4,14,4
-0.4,0.4,15,4
-0.4,0.4,16,3
-0.4,0.4,17,5
-0.4,0.4,18,8
-0.4,0.4,19,11
-0.4,0.4,20,9
-0.4,0.4,21,3
-0.4,0.4,22,7
-0.4,0.4,23,6
-0.4,0.4,24,3
-0.4,0.4,25,6
-0.4,0.4,26,8
-0.4,0.4,27,6
-0.4,0.4,28,6
-0.4,0.4,29,8
-0.4,0.4,30,4
-0.4,0.4,31,9
-0.4,0.4,32,3
-0.4,0.4,33,4
-0.4,0.4,34,7
-0.4,0.4,35,7
-0.4,0.4,36,11
-0.4,0.4,37,7
-0.4,0.4,38,8
-0.4,0.4,39,11
-0.4,0.4,40,3
-0.4,0.4,41,7
-0.4,0.4,42,7
-0.4,0.4,43,8
-0.4,0.4,44,11
-0.4,0.4,45,4
-0.4,0.4,46,4
-0.4,0.4,47,12
-0.4,0.4,48,3
-0.4,0.4,49,9
-0.4,0.4,50,7
-0.4,0.4,51,10
-0.4,0.4,52,7
-0.4,0.4,53,5
-0.4,0.4,54,8
-0.4,0.4,55,8
-0.4,0.4,56,2
-0.4,0.4,57,8
-0.4,0.4,58,3
-0.4,0.4,59,2
-0.4,0.4,60,8
-0.4,0.4,61,6
-0.4,0.4,62,6
-0.4,0.4,63,2
-0.4,0.4,64,2
-0.4,0.4,65,11
-0.4,0.4,66,12
-0.4,0.4,67,10
-0.4,0.4,68,9
-0.4,0.4,69,12
-0.4,0.4,70,4
-0.4,0.4,71,10
-0.4,0.4,72,6
-0.4,0.4,73,4
-0.4,0.4,74,10
-0.4,0.4,75,7
-0.4,0.4,76,9
-0.4,0.4,77,8
-0.4,0.4,78,5
-0.4,0.4,79,4
-0.4,0.4,80,6
-0.4,0.4,81,8
-0.4,0.4,82,12
-0.4,0.4,83,7
-0.4,0.4,84,11
-0.4,0.4,85,10
-0.4,0.4,86,8
-0.4,0.4,87,2
-0.4,0.4,88,4
-0.4,0.4,89,3
-0.4,0.4,90,6
-0.4,0.4,91,10
-0.4,0.4,92,9
-0.4,0.4,93,7
-0.4,0.4,94,3
-0.4,0.4,95,9
-0.4,0.4,96,11
-0.4,0.4,97,12
-0.4,0.4,98,3
-0.4,0.4,99,8
-0.4,0.4,100,4
-0.2,0.2,1,10
-0.2,0.2,2,6
-0.2,0.2,3,7
-0.2,0.2,4,8
-0.2,0.2,5,9
-0.2,0.2,6,6
-0.2,0.2,7,10
-0.2,0.2,8,10
-0.2,0.2,9,6
-0.2,0.2,10,7
-0.2,0.2,11,3
-0.2,0.2,12,4
-0.2,0.2,13,10
-0.2,0.2,14,7
-0.2,0.2,15,5
-0.2,0.2,16,5
-0.2,0.2,17,5
-0.2,0.2,18,8
-0.2,0.2,19,7
-0.2,0.2,20,7
-0.2,0.2,21,10
-0.2,0.2,22,6
-0.2,0.2,23,7
-0.2,0.2,24,8
-0.2,0.2,25,3
-0.2,0.2,26,6
-0.2,0.2,27,7
-0.2,0.2,28,4
-0.2,0.2,29,7
-0.2,0.2,30,6
-0.2,0.2,31,6
-0.2,0.2,32,4
-0.2,0.2,33,8
-0.2,0.2,34,9
-0.2,0.2,35,8
-0.2,0.2,36,6
-0.2,0.2,37,5
-0.2,0.2,38,10
-0.2,0.2,39,8
-0.2,0.2,40,8
-0.2,0.2,41,6
-0.2,0.2,42,5
-0.2,0.2,43,9
-0.2,0.2,44,4
-0.2,0.2,45,3
-0.2,0.2,46,9
-0.2,0.2,47,9
-0.2,0.2,48,7
-0.2,0.2,49,8
-0.2,0.2,50,4
-0.2,0.2,51,8
-0.2,0.2,52,6
-0.2,0.2,53,4
-0.2,0.2,54,5
-0.2,0.2,55,5
-0.2,0.2,56,6
-0.2,0.2,57,8
-0.2,0.2,58,4
-0.2,0.2,59,5
-0.2,0.2,60,7
-0.2,0.2,61,7
-0.2,0.2,62,7
-0.2,0.2,63,6
-0.2,0.2,64,8
-0.2,0.2,65,5
-0.2,0.2,66,7
-0.2,0.2,67,6
-0.2,0.2,68,5
-0.2,0.2,69,6
-0.2,0.2,70,5
-0.2,0.2,71,6
-0.2,0.2,72,8
-0.2,0.2,73,7
-0.2,0.2,74,9
-0.2,0.2,75,6
-0.2,0.2,76,4
-0.2,0.2,77,7
-0.2,0.2,78,6
-0.2,0.2,79,7
-0.2,0.2,80,5
-0.2,0.2,81,7
-0.2,0.2,82,9
-0.2,0.2,83,4
-0.2,0.2,84,5
-0.2,0.2,85,4
-0.2,0.2,86,9
-0.2,0.2,87,6
-0.2,0.2,88,8
-0.2,0.2,89,10
-0.2,0.2,90,7
-0.2,0.2,91,9
-0.2,0.2,92,4
-0.2,0.2,93,6
-0.2,0.2,94,7
-0.2,0.2,95,7
-0.2,0.2,96,8
-0.2,0.2,97,7
-0.2,0.2,98,7
-0.2,0.2,99,4
-0.2,0.2,100,4
-0.05,0.05,1,7
-0.05,0.05,2,6
-0.05,0.05,3,6
-0.05,0.05,4,6
-0.05,0.05,5,7
-0.05,0.05,6,6
-0.05,0.05,7,6
-0.05,0.05,8,7
-0.05,0.05,9,6
-0.05,0.05,10,6
-0.05,0.05,11,7
-0.05,0.05,12,7
-0.05,0.05,13,6
-0.05,0.05,14,6
-0.05,0.05,15,7
-0.05,0.05,16,7
-0.05,0.05,17,7
-0.05,0.05,18,6
-0.05,0.05,19,6
-0.05,0.05,20,6
-0.05,0.05,21,6
-0.05,0.05,22,7
-0.05,0.05,23,6
-0.05,0.05,24,6
-0.05,0.05,25,6
-0.05,0.05,26,7
-0.05,0.05,27,6
-0.05,0.05,28,6
-0.05,0.05,29,7
-0.05,0.05,30,6
-0.05,0.05,31,6
-0.05,0.05,32,6
-0.05,0.05,33,7
-0.05,0.05,34,6
-0.05,0.05,35,6
-0.05,0.05,36,7
-0.05,0.05,37,7
-0.05,0.05,38,7
-0.05,0.05,39,6
-0.05,0.05,40,6
-0.05,0.05,41,7
-0.05,0.05,42,6
-0.05,0.05,43,7
-0.05,0.05,44,6
-0.05,0.05,45,7
-0.05,0.05,46,7
-0.05,0.05,47,6
-0.05,0.05,48,7
-0.05,0.05,49,6
-0.05,0.05,50,7
-0.05,0.05,51,7
-0.05,0.05,52,6
-0.05,0.05,53,6
-0.05,0.05,54,6
-0.05,0.05,55,7
-0.05,0.05,56,6
-0.05,0.05,57,7
-0.05,0.05,58,6
-0.05,0.05,59,7
-0.05,0.05,60,7
-0.05,0.05,61,7
-0.05,0.05,62,6
-0.05,0.05,63,7
-0.05,0.05,64,7
-0.05,0.05,65,7
-0.05,0.05,66,6
-0.05,0.05,67,7
-0.05,0.05,68,7
-0.05,0.05,69,7
-0.05,0.05,70,7
-0.05,0.05,71,6
-0.05,0.05,72,7
-0.05,0.05,73,6
-0.05,0.05,74,7
-0.05,0.05,75,6
-0.05,0.05,76,6
-0.05,0.05,77,6
