Algorithm,RUN,Epochs
Prosty perceptron - unipolar,5,4
Prosty perceptron - unipolar,6,5
Prosty perceptron - unipolar,7,4
Prosty perceptron - unipolar,8,5
Prosty perceptron - unipolar,9,3
Prosty perceptron - unipolar,10,5
Prosty perceptron - unipolar,11,5
Prosty perceptron - unipolar,12,4
Prosty perceptron - unipolar,13,4
Prosty perceptron - unipolar,14,4
Prosty perceptron - unipolar,15,5
Prosty perceptron - unipolar,16,4
Prosty perceptron - unipolar,17,3
Prosty perceptron - unipolar,18,5
Prosty perceptron - unipolar,19,3
Prosty perceptron - unipolar,20,5
Prosty perceptron - unipolar,21,4
Prosty perceptron - unipolar,22,4
Prosty perceptron - unipolar,23,5
Prosty perceptron - unipolar,24,4
Prosty perceptron - unipolar,25,4
Prosty perceptron - unipolar,26,4
Prosty perceptron - unipolar,27,4
Prosty perceptron - unipolar,28,3
Prosty perceptron - unipolar,29,4
Prosty perceptron - unipolar,30,5
Prosty perceptron - unipolar,31,3
Prosty perceptron - unipolar,32,4
Prosty perceptron - unipolar,33,4
Prosty perceptron - unipolar,34,4
Prosty perceptron - unipolar,35,4
Prosty perceptron - unipolar,36,2
Prosty perceptron - unipolar,37,3
Prosty perceptron - unipolar,38,4
Prosty perceptron - unipolar,39,4
Prosty perceptron - unipolar,40,3
Prosty perceptron - unipolar,41,3
Prosty perceptron - unipolar,42,5
Prosty perceptron - unipolar,43,4
Prosty perceptron - unipolar,44,4
Prosty perceptron - unipolar,45,3
Prosty perceptron - unipolar,46,5
Prosty perceptron - unipolar,47,4
Prosty perceptron - unipolar,48,4
Prosty perceptron - unipolar,49,6
Prosty perceptron - unipolar,50,2
Prosty perceptron - unipolar,51,3
Prosty perceptron - unipolar,52,4
Prosty perceptron - unipolar,53,4
Prosty perceptron - unipolar,54,3
Prosty perceptron - unipolar,55,6
Prosty perceptron - unipolar,56,5
Prosty perceptron - unipolar,57,5
Prosty perceptron - unipolar,58,3
Prosty perceptron - unipolar,59,5
Prosty perceptron - unipolar,60,5
Prosty perceptron - unipolar,61,4
Prosty perceptron - unipolar,62,5
Prosty perceptron - unipolar,63,3
Prosty perceptron - unipolar,64,4
Prosty perceptron - unipolar,65,5
Prosty perceptron - unipolar,66,3
Prosty perceptron - unipolar,67,6
Prosty perceptron - unipolar,68,4
Prosty perceptron - unipolar,69,3
Prosty perceptron - unipolar,70,5
Prosty perceptron - unipolar,71,5
Prosty perceptron - unipolar,72,5
Prosty perceptron - unipolar,73,4
Prosty perceptron - unipolar,74,3
Prosty perceptron - unipolar,75,4
Prosty perceptron - unipolar,76,4
Prosty perceptron - unipolar,77,5
Prosty perceptron - unipolar,78,5
Prosty perceptron - unipolar,79,4
Prosty perceptron - unipolar,80,3
Prosty perceptron - unipolar,81,5
Prosty perceptron - unipolar,82,4
Prosty perceptron - unipolar,83,5
