Weights [LOW],Weights [HIGH],RUN,Epochs
-0.6,0.6,14,11
-0.6,0.6,15,20
-0.6,0.6,16,11
-0.6,0.6,17,6
-0.6,0.6,18,10
-0.6,0.6,19,17
-0.6,0.6,20,15
-0.6,0.6,21,16
-0.6,0.6,22,15
-0.6,0.6,23,12
-0.6,0.6,24,14
-0.6,0.6,25,16
-0.6,0.6,26,15
-0.6,0.6,27,16
-0.6,0.6,28,22
-0.6,0.6,29,21
-0.6,0.6,30,25
-0.6,0.6,31,6
-0.6,0.6,32,24
-0.6,0.6,33,16
-0.6,0.6,34,10
-0.6,0.6,35,14
-0.6,0.6,36,12
-0.6,0.6,37,12
-0.6,0.6,38,17
-0.6,0.6,39,23
-0.6,0.6,40,17
-0.6,0.6,41,18
-0.6,0.6,42,18
-0.6,0.6,43,17
-0.6,0.6,44,8
-0.6,0.6,45,10
-0.6,0.6,46,15
-0.6,0.6,47,12
-0.6,0.6,48,19
-0.6,0.6,49,16
-0.6,0.6,50,19
-0.6,0.6,51,18
-0.6,0.6,52,16
-0.6,0.6,53,20
-0.6,0.6,54,24
-0.6,0.6,55,18
-0.6,0.6,56,22
-0.6,0.6,57,18
-0.6,0.6,58,16
-0.6,0.6,59,21
-0.6,0.6,60,17
-0.6,0.6,61,10
-0.6,0.6,62,19
-0.6,0.6,63,16
-0.6,0.6,64,17
-0.6,0.6,65,19
-0.6,0.6,66,9
-0.6,0.6,67,13
-0.6,0.6,68,5
-0.6,0.6,69,24
-0.6,0.6,70,3
-0.6,0.6,71,11
-0.6,0.6,72,5
-0.6,0.6,73,13
-0.6,0.6,74,8
-0.6,0.6,75,14
-0.6,0.6,76,19
-0.6,0.6,77,15
-0.6,0.6,78,23
-0.6,0.6,79,14
-0.6,0.6,80,17
-0.6,0.6,81,22
-0.6,0.6,82,16
-0.6,0.6,83,16
-0.6,0.6,84,12
-0.6,0.6,85,15
-0.6,0.6,86,19
-0.6,0.6,87,16
-0.6,0.6,88,11
-0.6,0.6,89,12
-0.6,0.6,90,19
-0.6,0.6,91,12
-0.6,0.6,92,8
-0.6,0.6,93,14
-0.6,0.6,94,18
-0.6,0.6,95,8
-0.6,0.6,96,19
-0.6,0.6,97,15
-0.6,0.6,98,11
-0.6,0.6,99,7
-0.6,0.6,100,19
-0.4,0.4,1,16
-0.4,0.4,2,13
-0.4,0.4,3,17
-0.4,0.4,4,12
-0.4,0.4,5,15
-0.4,0.4,6,18
-0.4,0.4,7,3
-0.4,0.4,8,11
-0.4,0.4,9,14
-0.4,0.4,10,15
-0.4,0.4,11,15
-0.4,0.4,12,20
-0.4,0.4,13,22
-0.4,0.4,14,11
-0.4,0.4,15,11
-0.4,0.4,16,8
-0.4,0.4,17,13
-0.4,0.4,18,17
-0.4,0.4,19,19
-0.4,0.4,20,18
-0.4,0.4,21,12
-0.4,0.4,22,13
-0.4,0.4,23,15
-0.4,0.4,24,9
-0.4,0.4,25,15
-0.4,0.4,26,17
-0.4,0.4,27,15
-0.4,0.4,28,15
-0.4,0.4,29,16
-0.4,0.4,30,11
-0.4,0.4,31,15
-0.4,0.4,32,9
-0.4,0.4,33,12
-0.4,0.4,34,16
-0.4,0.4,35,16
-0.4,0.4,36,20
-0.4,0.4,37,13
-0.4,0.4,38,16
-0.4,0.4,39,19
-0.4,0.4,40,9
-0.4,0.4,41,16
-0.4,0.4,42,16
-0.4,0.4,43,17
-0.4,0.4,44,20
-0.4,0.4,45,10
-0.4,0.4,46,11
-0.4,0.4,47,21
-0.4,0.4,48,11
-0.4,0.4,49,18
-0.4,0.4,50,15
-0.4,0.4,51,19
-0.4,0.4,52,14
-0.4,0.4,53,13
-0.4,0.4,54,17
-0.4,0.4,55,17
-0.4,0.4,56,8
-0.4,0.4,57,17
-0.4,0.4,58,11
-0.4,0.4,59,8
-0.4,0.4,60,17
-0.4,0.4,61,14
-0.4,0.4,62,14
-0.4,0.4,63,7
-0.4,0.4,64,9
-0.4,0.4,65,16
-0.4,0.4,66,21
-0.4,0.4,67,19
-0.4,0.4,68,18
-0.4,0.4,69,21
-0.4,0.4,70,10
-0.4,0.4,71,19
-0.4,0.4,72,14
-0.4,0.4,73,12
-0.4,0.4,74,19
-0.4,0.4,75,15
-0.4,0.4,76,18
-0.4,0.4,77,16
-0.4,0.4,78,12
-0.4,0.4,79,11
-0.4,0.4,80,13
-0.4,0.4,81,14
-0.4,0.4,82,16
-0.4,0.4,83,15
-0.4,0.4,84,16
-0.4,0.4,85,19
-0.4,0.4,86,17
-0.4,0.4,87,8
-0.4,0.4,88,12
-0.4,0.4,89,8
-0.4,0.4,90,14
-0.4,0.4,91,19
-0.4,0.4,92,17
-0.4,0.4,93,15
-0.4,0.4,94,10
-0.4,0.4,95,18
-0.4,0.4,96,20
-0.4,0.4,97,21
-0.4,0.4,98,10
-0.4,0.4,99,17
-0.4,0.4,100,12
-0.2,0.2,1,18
-0.2,0.2,2,14
-0.2,0.2,3,15
-0.2,0.2,4,17
-0.2,0.2,5,17
-0.2,0.2,6,14
-0.2,0.2,7,18
-0.2,0.2,8,19
-0.2,0.2,9,14
-0.2,0.2,10,15
-0.2,0.2,11,9
-0.2,0.2,12,11
-0.2,0.2,13,19
-0.2,0.2,14,15
-0.2,0.2,15,12
-0.2,0.2,16,12
-0.2,0.2,17,13
-0.2,0.2,18,17
-0.2,0.2,19,15
-0.2,0.2,20,15
-0.2,0.2,21,18
-0.2,0.2,22,14
-0.2,0.2,23,15
-0.2,0.2,24,17
-0.2,0.2,25,9
-0.2,0.2,26,14
-0.2,0.2,27,15
-0.2,0.2,28,12
-0.2,0.2,29,15
-0.2,0.2,30,14
-0.2,0.2,31,14
-0.2,0.2,32,11
-0.2,0.2,33,16
-0.2,0.2,34,18
-0.2,0.2,35,16
-0.2,0.2,36,14
-0.2,0.2,37,13
-0.2,0.2,38,19
-0.2,0.2,39,17
-0.2,0.2,40,16
-0.2,0.2,41,14
-0.2,0.2,42,13
-0.2,0.2,43,17
-0.2,0.2,44,11
-0.2,0.2,45,10
-0.2,0.2,46,18
-0.2,0.2,47,17
-0.2,0.2,48,15
-0.2,0.2,49,17
-0.2,0.2,50,11
-0.2,0.2,51,17
-0.2,0.2,52,14
-0.2,0.2,53,11
-0.2,0.2,54,13
-0.2,0.2,55,13
-0.2,0.2,56,14
-0.2,0.2,57,16
-0.2,0.2,58,11
-0.2,0.2,59,13
-0.2,0.2,60,15
-0.2,0.2,61,16
-0.2,0.2,62,15
-0.2,0.2,63,14
-0.2,0.2,64,17
-0.2,0.2,65,13
-0.2,0.2,66,15
-0.2,0.2,67,15
-0.2,0.2,68,13
-0.2,0.2,69,14
-0.2,0.2,70,12
-0.2,0.2,71,14
-0.2,0.2,72,16
-0.2,0.2,73,15
-0.2,0.2,74,18
-0.2,0.2,75,15
-0.2,0.2,76,11
-0.2,0.2,77,15
-0.2,0.2,78,13
-0.2,0.2,79,16
-0.2,0.2,80,12
-0.2,0.2,81,15
-0.2,0.2,82,18
-0.2,0.2,83,12
-0.2,0.2,84,12
-0.2,0.2,85,10
-0.2,0.2,86,17
-0.2,0.2,87,14
-0.2,0.2,88,16
-0.2,0.2,89,18
-0.2,0.2,90,16
-0.2,0.2,91,18
-0.2,0.2,92,11
-0.2,0.2,93,14
-0.2,0.2,94,15
-0.2,0.2,95,15
-0.2,0.2,96,16
-0.2,0.2,97,15
-0.2,0.2,98,16
-0.2,0.2,99,10
-0.2,0.2,100,11
-0.05,0.05,1,15
-0.05,0.05,2,14
-0.05,0.05,3,14
-0.05,0.05,4,14
-0.05,0.05,5,15
-0.05,0.05,6,14
-0.05,0.05,7,14
-0.05,0.05,8,15
-0.05,0.05,9,14
