Activation function,RUN,Epochs
bipolar,1,4
bipolar,2,5
bipolar,3,6
bipolar,4,5
bipolar,5,4
bipolar,6,4
bipolar,7,4
bipolar,8,5
bipolar,9,4
bipolar,10,5
unipolar,1,3
unipolar,2,6
unipolar,3,3
unipolar,4,10
unipolar,5,6
unipolar,6,8
unipolar,7,5
unipolar,8,6
unipolar,9,4
unipolar,10,7
