Weights [LOW],Weights [HIGH],RUN,Epochs
-1.0,1.0,1,37
-1.0,1.0,2,37
-1.0,1.0,3,37
-1.0,1.0,4,37
-1.0,1.0,5,37
-1.0,1.0,6,37
-1.0,1.0,7,37
-1.0,1.0,8,37
-1.0,1.0,9,37
-1.0,1.0,10,37
-0.8,0.8,1,37
-0.8,0.8,2,37
-0.8,0.8,3,37
-0.8,0.8,4,37
-0.8,0.8,5,37
-0.8,0.8,6,37
-0.8,0.8,7,37
-0.8,0.8,8,37
-0.8,0.8,9,37
-0.8,0.8,10,37
-0.6,0.6,1,37
-0.6,0.6,2,37
-0.6,0.6,3,37
-0.6,0.6,4,37
-0.6,0.6,5,37
-0.6,0.6,6,37
-0.6,0.6,7,37
-0.6,0.6,8,37
-0.6,0.6,9,37
-0.6,0.6,10,37
-0.4,0.4,1,37
-0.4,0.4,2,37
-0.4,0.4,3,37
-0.4,0.4,4,37
-0.4,0.4,5,37
-0.4,0.4,6,37
-0.4,0.4,7,37
-0.4,0.4,8,37
-0.4,0.4,9,37
-0.4,0.4,10,37
-0.2,0.2,1,37
-0.2,0.2,2,37
-0.2,0.2,3,37
-0.2,0.2,4,37
-0.2,0.2,5,37
-0.2,0.2,6,37
-0.2,0.2,7,37
-0.2,0.2,8,37
-0.2,0.2,9,37
-0.2,0.2,10,37
-0.05,0.05,1,37
-0.05,0.05,2,37
-0.05,0.05,3,37
-0.05,0.05,4,37
-0.05,0.05,5,37
-0.05,0.05,6,37
-0.05,0.05,7,37
-0.05,0.05,8,37
-0.05,0.05,9,37
-0.05,0.05,10,37
-0.0,0.0,1,37
-0.0,0.0,2,37
-0.0,0.0,3,37
-0.0,0.0,4,37
-0.0,0.0,5,37
-0.0,0.0,6,37
-0.0,0.0,7,37
-0.0,0.0,8,37
-0.0,0.0,9,37
-0.0,0.0,10,37
